                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.17503,                0.97256,                      1,                0.50998,             0.00023628,             0.00023628,             0.00023628
                      2,                0.01633,                 0.9878,                      1,                  0.497,             0.00042732,             0.00042732,             0.00042732
                      3,                0.00749,                0.98171,                      1,                0.49769,             0.00057124,             0.00057124,             0.00057124
                      4,                0.00522,                0.99695,                      1,                0.49464,             0.00050194,             0.00050194,             0.00050194
                      5,                0.00499,                0.97561,                      1,                0.49825,             0.00050194,             0.00050194,             0.00050194
                      6,                0.00345,                0.99085,                      1,                0.49283,             0.00043126,             0.00043126,             0.00043126
                      7,                0.00306,                0.97256,                      1,                0.49794,             0.00036057,             0.00036057,             0.00036057
                      8,                0.00079,                0.98476,                      1,                0.49509,             0.00028988,             0.00028988,             0.00028988
                      9,                 0.0008,                0.98171,                      1,                0.49544,              0.0002192,              0.0002192,              0.0002192
                     10,                0.00067,                0.97866,                      1,                0.49597,             0.00014851,             0.00014851,             0.00014851
